,_id,chat_id,chat_date,user_id
0,5e51aadf626892ebcf7e96b2,0,29-11-19,1
1,5e51aadf626892ebcf7e96b3,0,29-11-19,0
2,5e51aadf626892ebcf7e96b4,0,29-11-19,5
3,5e51aadf626892ebcf7e96b5,0,29-11-19,4
4,5e51aadf626892ebcf7e96b6,0,29-11-19,3
5,5e51aadf626892ebcf7e96b7,0,29-11-19,2
6,5e51aadf626892ebcf7e96b8,0,29-11-19,6
7,5e51aadf626892ebcf7e96b9,0,29-11-19,11
8,5e51aadf626892ebcf7e96ba,0,29-11-19,13
9,5e51aadf626892ebcf7e96bb,0,29-11-19,10
10,5e51aadf626892ebcf7e96bc,0,29-11-19,8
11,5e51aadf626892ebcf7e96bd,1,11-11-19,0
12,5e51aadf626892ebcf7e96be,1,11-11-19,5
13,5e51aadf626892ebcf7e96bf,1,11-11-19,4
14,5e51aadf626892ebcf7e96c0,1,11-11-19,6
15,5e51aadf626892ebcf7e96c1,1,11-11-19,1
16,5e51aadf626892ebcf7e96c2,1,11-11-19,2
17,5e51aadf626892ebcf7e96c3,1,11-11-19,3
18,5e51aadf626892ebcf7e96c4,1,11-11-19,10
19,5e51aadf626892ebcf7e96c5,1,11-11-19,9
20,5e51aadf626892ebcf7e96c6,1,11-11-19,7
21,5e51aadf626892ebcf7e96c7,1,11-11-19,8
22,5e51aadf626892ebcf7e96c8,1,11-11-19,11
23,5e51aadf626892ebcf7e96c9,1,11-11-19,13
24,5e51aadf626892ebcf7e96ca,2,18-1-20,0
25,5e51aadf626892ebcf7e96cb,2,18-1-20,5
26,5e51aadf626892ebcf7e96cc,2,18-1-20,4
27,5e51aadf626892ebcf7e96cd,2,18-1-20,2
28,5e51aadf626892ebcf7e96ce,2,18-1-20,3
29,5e51aadf626892ebcf7e96cf,2,18-1-20,1
30,5e51aadf626892ebcf7e96d0,2,18-1-20,8
31,5e51aadf626892ebcf7e96d1,2,18-1-20,6
32,5e51aadf626892ebcf7e96d2,2,18-1-20,7
33,5e51aadf626892ebcf7e96d3,2,18-1-20,13
